"device","dataset","camera_path","camera_step","viewport","ssim","quad_tess","img quad_tess","geo_quad","img geo_quad","stpa","img stpa","quad_inst","img quad_inst","poly_tess","img poly_tess"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","9","2048 2048","0.9928","49.0042","2020-01-09T14-38-43-579.png","22.6802","2020-01-09T14-38-43-625.png","22.5708","2020-01-09T15-41-04-628.png","42.2510","2020-01-09T14-51-40-266.png","17.0859","2020-01-09T14-51-40-467.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","9","2048 2048","0.9928","284.6303","2020-01-09T14-38-43-579.png","98.0459","2020-01-09T14-38-43-625.png","98.1769","2020-01-09T15-41-04-628.png","295.6769","2020-01-09T14-51-40-266.png","77.1444","2020-01-09T14-51-40-467.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","9","512 512","0.9928","700.3292","2020-01-09T14-38-43-579.png","722.0529","2020-01-09T14-38-43-625.png","722.3502","2020-01-09T15-41-04-628.png","614.5753","2020-01-09T14-51-40-266.png","290.3415","2020-01-09T14-51-40-467.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","9","512 512","0.9928","385.9141","2020-01-09T14-38-43-579.png","456.2044","2020-01-09T14-38-43-625.png","457.0509","2020-01-09T15-41-04-628.png","223.9933","2020-01-09T14-51-40-266.png","146.4792","2020-01-09T14-51-40-467.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","9","512 512","0.9928","622.8201","2020-01-09T14-38-43-579.png","661.1920","2020-01-09T14-38-43-625.png","662.9893","2020-01-09T15-41-04-628.png","562.7399","2020-01-09T14-51-40-266.png","264.0829","2020-01-09T14-51-40-467.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","9","512 512","0.9928","656.9525","2020-01-09T14-38-43-579.png","677.4609","2020-01-09T14-38-43-625.png","679.8189","2020-01-09T15-41-04-628.png","554.2346","2020-01-09T14-51-40-266.png","279.9779","2020-01-09T14-51-40-467.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","9","512 512","0.9928","85.2595","2020-01-09T14-38-43-579.png","64.7643","2020-01-09T14-38-43-625.png","64.2901","2020-01-09T15-41-04-628.png","42.7274","2020-01-09T14-51-40-266.png","17.1094","2020-01-09T14-51-40-467.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","9","512 512","0.9928","307.8050","2020-01-09T14-38-43-579.png","392.8409","2020-01-09T14-38-43-625.png","393.5056","2020-01-09T15-41-04-628.png","410.9595","2020-01-09T14-51-40-266.png","77.3880","2020-01-09T14-51-40-467.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","19","1024 1024","0.9909","439.9511","2020-01-09T14-38-52-903.png","445.8176","2020-01-09T14-38-52-976.png","435.3846","2020-01-09T15-41-09-375.png","596.0328","2020-01-09T14-52-02-978.png","258.3158","2020-01-09T14-52-03-194.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","19","1024 1024","0.9909","276.3553","2020-01-09T14-38-52-903.png","279.0638","2020-01-09T14-38-52-976.png","272.8185","2020-01-09T15-41-09-375.png","223.9406","2020-01-09T14-52-02-978.png","125.9657","2020-01-09T14-52-03-194.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","19","1024 1024","0.9909","406.7339","2020-01-09T14-38-52-903.png","409.0348","2020-01-09T14-38-52-976.png","401.2326","2020-01-09T15-41-09-375.png","549.4415","2020-01-09T14-52-02-978.png","217.2109","2020-01-09T14-52-03-194.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","19","1024 1024","0.9909","434.1276","2020-01-09T14-38-52-903.png","417.1568","2020-01-09T14-38-52-976.png","409.9789","2020-01-09T15-41-09-375.png","550.8064","2020-01-09T14-52-02-978.png","248.6158","2020-01-09T14-52-03-194.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","19","1024 1024","0.9909","63.7865","2020-01-09T14-38-52-903.png","31.2854","2020-01-09T14-38-52-976.png","30.5939","2020-01-09T15-41-09-375.png","42.6332","2020-01-09T14-52-02-978.png","17.0975","2020-01-09T14-52-03-194.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","19","1024 1024","0.9909","296.6188","2020-01-09T14-38-52-903.png","142.9419","2020-01-09T14-38-52-976.png","140.6383","2020-01-09T15-41-09-375.png","336.2226","2020-01-09T14-52-02-978.png","77.2159","2020-01-09T14-52-03-194.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","19","2048 2048","0.9909","314.3735","2020-01-09T14-38-52-903.png","310.0198","2020-01-09T14-38-52-976.png","288.0832","2020-01-09T15-41-09-375.png","352.4229","2020-01-09T14-52-02-978.png","210.9229","2020-01-09T14-52-03-194.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","19","2048 2048","0.9909","166.6295","2020-01-09T14-38-52-903.png","176.0346","2020-01-09T14-38-52-976.png","165.1697","2020-01-09T15-41-09-375.png","179.4945","2020-01-09T14-52-02-978.png","107.4474","2020-01-09T14-52-03-194.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","19","2048 2048","0.9909","287.7375","2020-01-09T14-38-52-903.png","283.1874","2020-01-09T14-38-52-976.png","263.1205","2020-01-09T15-41-09-375.png","322.2459","2020-01-09T14-52-02-978.png","191.2580","2020-01-09T14-52-03-194.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","19","2048 2048","0.9909","309.1888","2020-01-09T14-38-52-903.png","294.5005","2020-01-09T14-38-52-976.png","275.6484","2020-01-09T15-41-09-375.png","341.6351","2020-01-09T14-52-02-978.png","202.7148","2020-01-09T14-52-03-194.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","19","2048 2048","0.9909","33.0917","2020-01-09T14-38-52-903.png","14.3698","2020-01-09T14-38-52-976.png","13.9911","2020-01-09T15-41-09-375.png","32.1594","2020-01-09T14-52-02-978.png","16.6620","2020-01-09T14-52-03-194.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","19","2048 2048","0.9909","218.1253","2020-01-09T14-38-52-903.png","63.3060","2020-01-09T14-38-52-976.png","61.7265","2020-01-09T15-41-09-375.png","227.5178","2020-01-09T14-52-02-978.png","76.6131","2020-01-09T14-52-03-194.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","19","512 512","0.9909","610.9258","2020-01-09T14-38-52-903.png","604.8985","2020-01-09T14-38-52-976.png","600.6078","2020-01-09T15-41-09-375.png","614.1903","2020-01-09T14-52-02-978.png","279.1386","2020-01-09T14-52-03-194.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","19","512 512","0.9909","350.8612","2020-01-09T14-38-52-903.png","381.2022","2020-01-09T14-38-52-976.png","378.2992","2020-01-09T15-41-09-375.png","223.9862","2020-01-09T14-52-02-978.png","138.2678","2020-01-09T14-52-03-194.png"
"NVIDIA TITAN X (Pascal)","liquid formation","path_siny","19","512 512","0.9909","540.7832","2020-01-09T14-38-52-903.png","556.1395","2020-01-09T14-38-52-976.png","552.3580","2020-01-09T15-41-09-375.png","562.5404","2020-01-09T14-52-02-978.png","253.7195","2020-01-09T14-52-03-194.png"
"NVIDIA TITAN Xp","liquid formation","path_siny","19","512 512","0.9909","574.4815","2020-01-09T14-38-52-903.png","558.3535","2020-01-09T14-38-52-976.png","557.3981","2020-01-09T15-41-09-375.png","552.9811","2020-01-09T14-52-02-978.png","268.4398","2020-01-09T14-52-03-194.png"
"Radeon (TM) RX 480 Graphics","liquid formation","path_siny","19","512 512","0.9909","83.1124","2020-01-09T14-38-52-903.png","49.6421","2020-01-09T14-38-52-976.png","49.1253","2020-01-09T15-41-09-375.png","42.7044","2020-01-09T14-52-02-978.png","17.1088","2020-01-09T14-52-03-194.png"
"Radeon Vega Frontier Edition","liquid formation","path_siny","19","512 512","0.9909","307.6573","2020-01-09T14-38-52-903.png","284.9660","2020-01-09T14-38-52-976.png","281.1152","2020-01-09T15-41-09-375.png","393.7240","2020-01-09T14-52-02-978.png","77.3473","2020-01-09T14-52-03-194.png"
"NVIDIA GeForce GTX 1080 Ti","liquid formation","path_siny","29","1024 1024","0.9919","327.1705","2020-01-09T14-39-02-694.png","326.2941","2020-01-09T14-39-02-774.png","296.6532","2020-01-09T15-41-14-545.png","375.3162","2020-01-09T14-52-27-168.png","217.4253","2020-01-09T14-52-27-433.png"
"NVIDIA Quadro M6000 24GB","liquid formation","path_siny","29","1024 1024","0.9919","177.8973","2020-01-09T14-39-02-694.png","188.6985","2020-01-09T14-39-02-774.png","172.9496","2020-01-09T15-41-14-545.png","184.5338","2020-01-09T14-52-27-168.png","110.3889","2020-01-09T14-52-27-433.png"
