"ae","dataset","camera_path","camera_step","pos_x","pos_y","view_x","view_y"
"1","vdb-volume","spiral-zoom","97","0.679296","-0.601954","-0.044803","0.040972"
"1","vdb-volume","spiral-zoom","98","0.681792","-0.598993","-0.044972","0.040787"
"1","vdb-volume","spiral-zoom","99","0.684271","-0.596018","-0.04514","0.040602"
"1","vdb-volume","spiral-zoom","100","0.686728","-0.593012","-0.045308","0.040415"
"1","vdb-volume","spiral-zoom","101","0.689167","-0.589985","-0.045475","0.040227"
"1","vdb-volume","spiral-zoom","102","0.691586","-0.586932","-0.045642","0.040038"
"1","vdb-volume","spiral-zoom","103","0.693986","-0.583858","-0.045808","0.039848"
"1","vdb-volume","spiral-zoom","104","0.696367","-0.580765","-0.045973","0.039657"
"1","vdb-volume","spiral-zoom","105","0.698728","-0.577645","-0.046137","0.039465"
"1","vdb-volume","spiral-zoom","106","0.70107","-0.574504","-0.046301","0.039273"
"1","vdb-volume","spiral-zoom","107","0.703392","-0.571337","-0.046464","0.039079"
"1","vdb-volume","spiral-zoom","108","0.705695","-0.568151","-0.046626","0.038884"
"1","vdb-volume","spiral-zoom","109","0.707978","-0.564943","-0.046788","0.038688"
"1","vdb-volume","spiral-zoom","110","0.710242","-0.561713","-0.046949","0.038492"
"1","vdb-volume","spiral-zoom","111","0.712487","-0.558463","-0.047109","0.038294"
"1","vdb-volume","spiral-zoom","112","0.714712","-0.55519","-0.047268","0.038095"
"1","vdb-volume","spiral-zoom","113","0.716918","-0.551897","-0.047427","0.037896"
"1","vdb-volume","spiral-zoom","114","0.719105","-0.548583","-0.047585","0.037695"
"1","vdb-volume","spiral-zoom","115","0.721272","-0.545249","-0.047743","0.037494"
"1","vdb-volume","spiral-zoom","116","0.72342","-0.541895","-0.047899","0.037291"
"1","vdb-volume","spiral-zoom","117","0.725549","-0.538521","-0.048055","0.037088"
"1","vdb-volume","spiral-zoom","118","0.727658","-0.535126","-0.04821","0.036883"
"1","vdb-volume","spiral-zoom","119","0.729748","-0.531712","-0.048365","0.036678"
"1","vdb-volume","spiral-zoom","120","0.731819","-0.528279","-0.048519","0.036471"
"1","vdb-volume","spiral-zoom","121","0.733871","-0.524827","-0.048672","0.036264"
"1","vdb-volume","spiral-zoom","122","0.735903","-0.521356","-0.048824","0.036055"
"1","vdb-volume","spiral-zoom","123","0.737916","-0.517867","-0.048975","0.035846"
"1","vdb-volume","spiral-zoom","124","0.73991","-0.51436","-0.049126","0.035636"
"1","vdb-volume","spiral-zoom","125","0.741884","-0.510834","-0.049276","0.035425"
"1","vdb-volume","spiral-zoom","126","0.74384","-0.507291","-0.049425","0.035212"
